recency,frequency,monetary
227,2,51.69
521,1,18.76
521,1,9.98
521,1,23.0
369,1,19.04
117,3,297.23
42,3,276.24
510,2,60.84
462,1,43.53
330,2,109.76
120,2,236.54
521,1,19.99
521,1,12.77
147,2,249.04
521,1,11.77
521,1,42.17
212,1,35.52
521,1,16.36
521,1,26.13
521,1,28.34
148,1,38.04
9,2,77.46
499,2,108.67
521,1,9.97
10,2,498.04
113,1,24.45
20,3,69.32
383,2,50.09
521,1,71.62
509,1,55.87
521,1,11.77
491,1,50.74
521,1,13.97
61,3,492.6
521,1,6.79
311,1,80.08
521,1,32.74
521,1,30.32
521,1,14.96
245,2,83.68
520,1,50.3
521,1,15.76
512,1,23.54
281,2,85.41
521,1,10.77
521,1,77.24
304,3,229.04
521,1,14.99
515,2,41.44
520,1,52.15
302,2,43.11
521,1,47.14
310,1,29.33
16,4,168.4
490,1,225.01
519,1,6.79
501,2,82.47
520,1,18.28
521,1,15.36
521,1,208.77
521,1,12.77
521,1,58.9
521,1,14.96
204,4,319.08
193,2,100.12
378,1,46.67
280,1,76.96
521,1,43.35
521,1,39.75
199,2,224.68
193,1,28.35
475,2,112.42
311,2,47.28
521,1,24.98
521,1,30.76
482,1,87.61
426,2,64.43
521,1,19.98
521,1,11.97
521,1,20.53
367,3,124.12
521,1,31.99
521,1,34.75
14,7,731.04
521,1,70.24
115,2,43.84
498,1,32.76
521,1,40.91
92,2,70.85
513,2,88.04
52,3,153.61
521,1,15.36
199,3,128.21
32,2,119.89
198,2,43.35
39,5,445.47
462,1,37.75
163,3,126.86
155,2,42.73
520,1,13.97
163,5,360.32
10,5,632.45
116,2,101.61
520,1,14.37
520,1,12.49
520,1,24.99
511,1,28.34
520,1,38.5
520,1,58.73
40,3,147.64
520,1,12.77
406,1,58.89
520,1,42.95
520,1,14.96
520,1,43.3
520,1,21.97
41,2,176.25
520,1,21.74
520,1,26.13
520,1,39.48
480,2,60.1
519,1,17.54
31,3,168.8
516,1,20.67
520,1,9.98
520,1,14.37
278,2,50.73
8,5,989.18
520,1,19.99
493,3,62.44
343,4,681.23
520,1,75.48
520,1,13.97
303,2,203.07
520,1,14.99
520,1,20.37
520,1,26.14
489,1,15.36
520,1,59.26
520,1,38.53
520,1,135.7
520,1,29.75
128,3,218.92
465,2,80.69
184,3,175.08
520,1,11.77
99,2,46.25
48,4,170.73
520,1,15.96
520,1,31.76
520,1,10.99
520,1,59.82
520,1,14.96
268,2,50.53
520,1,12.97
520,1,12.97
503,2,191.99
520,1,50.67
283,2,133.87
85,3,238.45
465,2,39.94
479,2,56.46
520,1,15.36
17,4,414.55
317,1,38.51
29,2,92.29
508,1,35.04
420,2,101.05
54,3,89.72
135,2,148.63
7,14,4968.0
520,1,11.77
520,1,46.08
520,1,12.49
520,1,30.15
520,1,15.76
497,1,29.99
37,4,342.42
72,2,148.64
464,1,85.38
353,1,41.74
517,1,43.13
251,3,157.75
520,1,34.94
371,1,29.33
520,1,13.77
519,1,82.02
479,1,24.98
520,1,27.13
115,2,83.81
374,1,83.19
501,2,134.33
5,4,371.08
520,1,39.97
520,1,29.58
477,2,195.86
506,1,9.97
8,3,128.35
520,1,29.33
18,3,139.03
520,1,8.77
520,1,27.94
520,1,73.95
478,2,88.4
520,1,14.96
520,1,15.7
520,1,13.97
442,4,153.9
520,1,26.14
520,1,26.99
520,1,29.92
520,1,14.79
520,1,16.36
520,1,12.97
442,1,29.92
497,1,33.4
520,1,14.37
519,1,83.22
335,1,34.98
256,5,283.01
520,1,76.6
504,2,48.48
514,1,31.32
520,1,14.37
520,1,92.18
520,1,15.36
520,1,63.33
229,2,56.74
520,1,15.36
520,1,21.3
264,3,121.05
501,2,43.11
520,1,24.98
520,1,13.97
450,3,350.97
520,1,27.77
67,2,76.65
520,1,34.98
520,1,76.2
520,1,32.31
520,1,12.49
520,1,35.35
520,1,29.92
402,1,76.78
291,2,37.75
363,1,228.95
520,1,9.77
520,1,14.37
520,1,11.99
519,1,45.94
520,1,13.97
520,1,99.1
520,1,26.73
469,2,158.31
62,2,81.22
520,1,29.13
368,2,81.82
366,3,124.78
520,1,37.71
440,3,337.32
149,6,1015.7
520,1,12.97
481,1,24.14
520,1,15.36
128,2,407.06
520,1,16.36
520,1,4.79
520,1,20.0
371,2,56.99
45,1,66.55
36,4,305.02
185,2,36.68
383,2,103.34
520,1,19.76
505,1,14.37
20,6,1018.01
219,2,125.06
520,1,6.79
336,1,42.31
520,1,22.99
457,3,229.22
520,1,15.36
520,1,17.76
519,1,73.97
221,1,51.74
520,1,11.77
520,1,10.77
93,3,119.03
520,1,21.99
520,1,16.36
428,1,41.07
24,5,735.91
471,2,126.19
491,2,57.21
46,4,224.5
434,1,27.73
39,2,84.92
180,3,98.55
204,2,45.51
518,1,9.78
519,1,35.6
239,2,97.72
518,1,40.31
520,1,13.97
520,1,167.04
495,1,33.4
520,1,12.49
520,1,9.77
520,1,12.49
520,1,93.77
1,3,163.11
110,3,103.78
520,1,48.23
520,1,76.01
520,1,34.99
512,2,135.16
520,1,45.29
83,2,176.27
520,1,14.37
325,1,30.97
520,1,25.54
48,4,238.85
520,1,26.76
100,2,156.69
520,1,15.36
518,1,54.99
519,1,36.48
509,1,44.17
520,1,14.96
520,1,29.98
501,2,87.97
520,1,65.57
520,1,12.49
520,1,5.78
520,1,14.99
520,1,15.36
236,3,308.63
88,3,151.18
371,1,39.71
493,3,158.87
318,2,171.64
520,1,11.77
520,1,16.7
418,1,34.96
488,2,73.34
452,1,34.98
520,1,11.77
94,3,182.24
519,1,29.33
24,2,106.11
323,2,144.24
520,1,50.32
520,1,43.13
519,1,27.94
21,4,365.36
520,1,59.96
308,1,38.1
471,2,85.93
415,1,36.04
520,1,66.49
187,3,117.36
520,1,53.29
24,4,402.22
513,2,41.1
101,2,78.58
162,3,212.16
167,2,113.68
520,1,23.99
235,1,51.59
520,1,13.97
26,1,99.27
21,2,62.71
520,1,33.27
520,1,22.97
520,1,11.77
520,1,11.77
520,1,15.36
518,1,13.58
102,3,130.16
506,1,27.94
520,1,14.99
505,2,171.91
520,1,15.36
275,1,78.89
245,5,345.23
520,1,42.49
520,1,37.51
286,1,55.14
520,1,45.13
387,2,27.94
32,5,598.99
520,1,23.97
520,1,14.37
520,1,57.05
520,1,66.38
520,1,14.96
385,2,73.14
2,3,134.22
519,1,15.36
519,1,101.14
7,5,434.86
511,2,179.87
519,1,10.77
519,1,13.97
514,2,64.97
0,4,566.42
505,2,44.97
32,2,109.26
519,1,11.77
498,2,76.8
120,2,143.35
307,2,104.62
519,1,128.49
478,1,47.48
76,4,364.69
476,2,71.25
519,1,13.97
519,1,18.54
519,1,35.34
519,1,61.04
519,1,6.79
473,1,13.97
320,3,90.38
515,1,15.77
343,1,57.45
519,1,13.97
519,1,71.82
519,1,14.37
474,1,25.74
475,1,92.56
519,1,103.53
37,4,686.53
519,1,19.99
519,1,29.9
16,3,814.0
519,1,123.31
519,1,26.14
519,1,11.77
307,6,571.58
154,2,176.95
519,1,56.3
293,2,126.82
519,1,14.96
475,3,73.4
519,1,13.97
519,1,26.73
485,2,156.47
519,1,37.98
124,1,23.35
511,1,47.3
519,1,24.7
519,1,27.99
269,3,486.85
480,1,60.74
518,1,200.76
50,2,64.34
519,1,38.77
368,2,36.31
519,1,39.9
519,1,13.97
285,4,233.51
519,1,22.7
519,1,26.14
519,1,12.97
519,1,8.77
506,2,36.55
88,2,101.43
2,5,696.29
519,1,11.77
476,1,32.26
519,1,11.77
16,3,294.02
28,5,313.41
2,4,403.83
519,1,11.77
264,2,48.3
519,1,7.98
519,1,11.77
48,2,189.04
519,1,43.73
497,1,13.97
519,1,14.37
284,2,89.54
23,3,259.01
258,4,179.8
200,4,517.26
519,1,14.79
519,1,17.99
515,1,129.33
44,4,506.26
519,1,65.47
11,1,85.96
147,2,114.82
519,1,24.74
34,4,181.22
507,2,74.8
49,4,215.01
491,1,44.71
519,1,11.77
189,2,74.66
519,1,65.85
519,1,27.77
231,4,262.92
223,2,37.25
33,2,36.05
519,1,24.98
287,1,19.78
454,2,37.49
248,3,106.5
519,1,16.36
519,1,34.99
62,3,180.45
519,1,24.14
518,1,5.78
517,1,12.77
213,4,279.97
519,1,20.99
272,2,71.96
339,3,108.95
75,2,119.27
12,1,78.46
237,2,60.07
519,1,13.97
519,1,13.97
496,1,17.28
518,2,104.15
189,2,83.51
519,1,75.27
351,2,73.2
518,3,319.89
519,1,42.5
101,2,73.18
519,1,135.8
146,2,68.28
217,3,117.93
501,1,102.34
519,1,106.19
516,2,43.13
225,1,45.94
519,1,14.9
43,2,88.49
237,2,50.23
420,1,205.74
519,1,14.37
333,2,142.4
519,1,21.54
519,1,14.99
120,3,256.51
340,2,50.8
519,1,18.99
519,1,432.76
17,4,427.9
512,1,35.8
74,1,30.89
519,1,32.98
519,1,9.77
519,1,82.23
519,1,16.99
112,2,105.44
519,1,60.87
519,1,15.76
201,2,143.25
519,1,11.77
519,1,27.37
519,1,25.78
55,3,143.61
519,1,12.97
519,1,28.74
20,2,136.07
519,1,14.37
519,1,66.38
512,1,30.72
113,2,191.94
519,1,12.49
167,2,24.75
519,1,25.74
519,1,117.93
519,1,26.14
249,2,58.34
467,2,271.23
101,2,135.84
351,2,50.31
32,3,216.16
519,1,14.37
519,1,58.86
519,1,8.78
437,2,67.99
519,1,9.9
512,2,88.74
239,2,52.74
519,1,41.1
112,3,274.27
107,2,147.0
301,4,158.71
519,1,15.99
519,1,24.99
2,4,350.05
245,1,25.96
467,2,266.21
478,2,43.29
518,1,26.13
96,2,138.5
519,1,15.9
503,2,127.07
508,1,13.97
519,1,8.77
519,1,15.36
519,1,56.32
519,1,50.9
147,1,98.12
111,2,99.59
477,1,96.94
515,2,116.7
519,1,11.77
519,1,23.99
519,1,13.97
519,1,37.03
519,1,31.97
370,3,92.64
519,1,20.99
469,1,55.2
519,1,47.77
519,1,23.34
461,3,118.99
507,1,23.54
519,1,6.79
519,1,12.97
248,2,103.7
50,9,1044.98
413,3,149.51
519,1,66.74
489,2,41.69
113,2,159.81
502,2,99.17
1,2,97.23
517,1,11.76
283,2,44.31
259,3,226.43
480,1,20.94
519,1,24.74
519,1,17.7
519,1,14.37
519,1,31.48
519,1,6.79
519,1,25.74
519,1,29.73
519,1,16.36
519,1,39.99
519,1,12.97
519,1,23.98
519,1,52.86
211,5,286.52
391,2,91.81
209,2,39.24
518,1,30.13
519,1,43.89
38,3,100.87
519,1,13.97
22,2,94.4
519,1,36.99
21,3,99.15
511,1,27.94
107,3,156.31
355,1,49.97
519,1,35.31
31,4,642.19
42,3,145.28
519,1,27.94
372,1,35.6
441,2,78.49
519,1,23.54
100,1,38.63
416,2,68.63
519,1,15.36
519,1,31.96
221,2,72.77
519,1,14.37
519,1,17.99
506,1,59.71
110,2,85.08
519,1,26.78
295,2,116.81
356,2,50.27
519,1,14.37
468,2,46.68
192,4,272.63
418,1,21.74
519,1,9.97
519,1,11.77
379,3,81.43
436,2,46.68
519,1,75.44
52,1,17.26
519,1,14.37
519,1,10.97
375,1,97.0
383,2,125.87
114,1,48.73
518,1,54.47
518,1,12.49
359,4,330.62
283,3,267.79
231,2,116.68
487,1,97.61
518,1,15.7
518,1,37.47
146,2,151.85
518,1,14.96
518,1,25.37
518,1,14.79
351,5,354.42
518,1,28.99
162,3,144.03
518,1,6.79
514,1,15.36
374,1,23.54
505,2,73.03
507,2,47.85
148,2,111.37
66,4,332.38
518,1,11.77
461,2,49.47
328,2,83.2
518,1,29.58
518,1,11.77
477,1,57.76
477,1,68.62
62,3,151.14
518,1,13.97
30,4,388.54
267,2,146.6
495,1,13.97
518,1,37.51
518,1,23.54
375,1,32.77
518,1,32.29
518,1,10.0
78,3,151.52
104,2,257.24
518,1,99.76
518,1,44.69
250,1,54.69
518,1,21.76
60,7,1498.21
64,4,2079.39
518,1,40.7
346,2,174.6
203,4,400.16
518,1,11.77
518,1,17.76
57,2,158.94
357,6,545.47
518,1,62.9
276,2,126.34
112,2,125.45
518,1,34.75
393,2,82.2
518,1,58.31
518,1,26.14
75,1,23.26
518,1,18.99
375,1,21.75
518,1,382.62
287,2,37.67
497,1,29.92
303,2,98.55
518,1,30.32
411,2,74.8
518,1,14.96
107,2,81.34
518,1,46.48
18,2,88.68
219,4,250.95
490,1,27.96
518,1,14.37
42,3,247.64
162,3,270.85
518,1,11.77
485,1,45.72
518,1,5.99
518,1,16.36
180,2,159.46
518,1,14.37
516,1,34.36
518,1,29.33
404,1,88.63
216,1,34.26
357,1,47.62
518,1,23.76
518,1,5.78
518,1,51.96
518,1,6.79
57,3,260.83
5,1,48.75
518,1,33.52
322,3,100.72
208,2,78.1
518,1,28.74
197,2,56.3
218,1,26.76
518,1,14.79
518,1,13.97
11,5,952.75
322,1,23.26
335,2,59.24
136,2,42.34
518,1,29.99
517,1,83.19
463,1,49.98
518,1,15.36
518,1,15.76
518,1,23.54
26,3,374.14
518,1,36.54
83,3,122.64
518,1,31.54
453,2,121.13
518,1,11.77
518,1,14.96
518,1,14.96
518,1,11.77
67,3,171.8
518,1,36.5
517,1,52.08
469,1,45.28
518,1,10.77
405,1,34.95
518,1,115.94
98,1,45.24
518,1,24.54
518,1,24.99
19,5,339.7
304,1,75.61
161,1,23.95
518,1,11.77
207,1,98.7
518,1,20.74
518,1,10.97
518,1,37.74
173,1,30.48
27,1,49.04
518,1,38.9
518,1,100.32
518,1,14.96
518,1,13.97
13,5,1570.67
518,1,27.73
518,1,15.7
475,1,28.56
174,5,476.1
518,1,15.99
330,2,61.06
518,1,35.77
232,2,73.23
426,1,25.88
43,2,172.37
518,1,24.99
518,1,14.99
53,2,203.24
518,1,27.94
518,1,10.97
272,1,20.48
518,1,25.99
306,1,53.51
26,2,173.54
518,1,131.16
518,1,11.77
518,1,13.97
456,2,82.51
207,3,199.41
518,1,20.99
245,3,182.34
205,1,79.95
8,5,775.26
101,2,67.59
518,1,19.99
518,1,26.99
518,1,19.99
518,1,19.99
61,2,89.8
518,1,19.99
518,1,3.99
92,2,151.8
9,1,50.22
518,1,11.97
518,1,9.99
518,1,83.16
518,1,11.77
118,3,105.1
504,1,89.4
36,2,436.04
170,2,75.95
518,1,19.99
109,3,86.42
488,1,95.19
482,2,80.03
518,1,46.37
24,2,102.25
280,1,19.78
42,2,112.02
518,1,14.96
518,1,23.54
518,1,14.96
186,1,43.92
476,2,36.93
257,4,636.25
34,1,96.38
388,2,41.71
59,5,397.42
49,2,155.64
518,1,19.99
518,1,20.99
518,1,32.6
336,1,60.31
518,1,47.48
75,1,51.68
518,1,68.67
518,1,13.97
517,1,61.24
518,1,18.99
62,2,79.3
168,2,92.02
100,5,827.28
518,1,11.77
518,1,13.97
306,2,72.66
65,2,161.03
518,1,14.96
61,4,566.51
518,1,16.36
510,1,27.13
518,1,15.76
365,3,287.9
518,1,14.37
506,1,17.3
445,2,230.08
43,1,94.66
183,1,129.67
504,2,65.87
518,1,9.98
518,1,14.37
510,2,113.71
149,2,55.15
490,1,16.7
171,2,39.41
518,1,14.37
48,2,90.57
518,1,35.8
110,2,87.65
509,1,13.97
477,2,45.9
60,2,77.78
518,1,31.99
471,2,170.85
44,1,44.32
513,2,85.99
518,1,19.99
20,2,106.13
142,3,327.67
504,1,37.31
518,1,36.48
251,3,120.35
109,2,63.15
518,1,46.72
516,2,44.36
98,2,214.01
493,1,47.98
479,2,61.66
423,2,42.28
517,1,11.97
516,2,30.33
517,1,15.76
487,2,35.14
79,2,61.0
230,2,82.44
517,1,13.97
66,4,545.68
337,2,69.44
517,1,14.37
505,2,44.94
517,1,56.69
22,1,54.95
128,3,169.75
357,2,233.06
62,2,63.95
517,1,13.99
517,1,28.33
517,1,15.36
485,1,28.95
517,1,15.36
196,5,794.28
517,1,14.79
38,4,310.12
517,1,49.68
116,3,174.15
517,1,58.59
517,1,80.78
515,1,26.94
67,2,131.79
517,1,13.97
517,1,33.13
288,2,64.74
251,1,155.95
28,1,25.48
233,3,279.67
517,1,72.99
517,1,19.99
517,1,41.52
439,1,24.75
517,1,26.94
54,2,211.68
517,1,161.47
517,1,14.3
473,3,122.51
185,3,311.14
509,1,51.38
425,2,177.99
512,1,27.73
504,1,11.97
260,1,64.71
181,1,122.38
517,1,21.99
482,1,25.54
234,2,69.87
517,1,40.9
34,7,878.11
230,4,309.43
100,1,28.35
517,1,35.76
290,1,27.48
405,1,33.85
517,1,11.77
517,1,30.73
203,2,342.66
414,3,173.21
235,1,77.56
517,1,43.14
517,1,13.97
453,2,82.77
517,1,15.96
63,2,147.65
516,1,15.36
34,2,201.01
517,1,38.9
517,1,14.37
346,2,93.67
514,2,38.5
517,1,69.98
489,2,49.52
61,3,258.72
461,1,26.14
29,4,577.21
28,2,140.15
517,1,28.74
28,2,60.97
115,1,49.98
210,1,28.36
16,2,109.68
331,2,49.31
513,2,44.37
46,5,443.21
517,1,12.49
13,3,142.1
517,1,20.99
517,1,43.54
517,1,9.97
445,1,51.29
432,1,112.0
83,3,384.22
20,5,749.83
52,6,419.44
210,1,40.82
502,1,20.55
517,1,49.96
517,1,14.37
517,1,13.97
265,2,73.97
517,1,14.99
471,2,40.5
474,2,82.57
344,2,55.68
396,3,130.39
517,1,12.97
517,1,25.76
3,3,189.26
517,1,11.77
50,5,298.52
516,1,8.97
517,1,19.99
152,1,23.35
517,1,15.36
512,1,25.74
383,2,70.83
36,2,194.31
227,4,161.81
187,2,63.99
511,2,67.47
27,2,62.28
20,2,52.96
517,1,19.99
517,1,29.98
517,1,15.36
517,1,14.79
517,1,20.3
234,1,123.84
195,2,97.63
517,1,11.77
175,2,41.47
515,1,76.96
516,1,146.48
517,1,23.74
73,2,129.51
2,2,220.45
113,4,252.23
73,2,150.77
77,5,545.22
505,2,44.73
517,1,12.77
514,1,23.96
516,1,14.96
517,1,44.95
517,1,123.32
421,2,65.63
218,4,262.58
517,1,8.78
200,6,498.01
517,1,58.73
517,1,29.99
517,1,33.8
517,1,27.94
517,1,39.98
517,1,25.74
27,7,920.85
342,2,97.76
117,4,342.23
449,2,180.8
510,2,40.53
78,3,200.07
274,3,268.83
6,2,134.72
62,1,91.27
416,3,133.08
512,1,27.14
101,4,228.64
517,1,14.37
460,2,97.56
517,1,10.77
232,3,127.88
484,1,81.16
517,1,49.27
327,2,198.46
101,1,30.85
517,1,40.48
514,1,30.92
33,2,93.34
517,1,14.96
91,2,41.95
517,1,96.37
26,2,114.92
517,1,4.79
117,1,48.44
55,4,458.02
517,1,24.73
143,1,85.47
517,1,44.1
85,1,73.38
517,1,28.53
517,1,67.23
514,1,27.94
192,3,203.45
140,5,863.24
74,2,88.73
509,1,43.32
517,1,5.78
508,2,102.47
517,1,6.77
517,1,30.31
517,1,34.99
517,1,67.47
517,1,11.99
487,1,83.37
224,2,72.32
517,1,45.1
517,1,14.99
183,3,146.79
330,2,277.49
213,1,126.95
517,1,38.74
244,3,201.25
73,3,162.67
93,4,268.33
1,17,13925.98
517,1,11.7
75,2,62.96
517,1,18.99
49,4,438.48
75,1,51.35
517,1,12.49
517,1,57.51
114,4,251.86
517,1,15.36
456,1,26.73
102,2,137.71
403,2,148.63
514,1,41.9
496,1,50.94
517,1,36.84
517,1,16.99
517,1,50.36
517,1,23.97
517,1,23.54
495,1,40.27
27,4,247.9
517,1,15.9
117,3,247.86
517,1,14.99
366,2,60.05
517,1,6.79
466,1,56.28
334,1,35.71
73,3,99.62
517,1,70.95
416,3,113.91
517,1,11.77
517,1,31.92
517,1,12.97
436,3,186.18
270,2,65.69
517,1,11.77
517,1,11.77
301,7,1084.11
517,1,25.99
517,1,14.37
450,1,83.41
517,1,11.77
517,1,57.09
517,1,22.96
517,1,25.77
517,1,14.96
517,1,31.07
517,1,12.49
517,1,40.1
517,1,70.62
0,3,94.01
54,1,32.75
205,2,64.33
517,1,26.14
517,1,42.44
238,2,534.27
517,1,43.99
512,1,12.99
515,1,67.45
512,2,92.43
517,1,26.74
517,1,45.09
45,2,69.66
517,1,11.77
2,3,93.35
205,1,27.36
517,1,12.97
517,1,27.13
517,1,24.98
517,1,56.69
517,1,105.67
517,1,6.79
253,2,80.88
517,1,69.03
517,1,18.78
517,1,12.77
114,2,120.61
517,1,32.72
26,2,236.67
42,1,38.35
375,3,174.66
517,1,30.13
479,1,27.74
16,3,168.43
517,1,18.99
288,1,34.48
517,1,24.74
196,1,233.16
54,2,71.09
272,2,70.26
49,6,975.1
517,1,46.68
517,1,69.04
509,1,35.2
170,2,141.83
517,1,14.96
319,2,115.67
398,6,326.78
501,1,19.54
517,1,14.96
517,1,24.94
107,2,64.56
517,1,15.36
198,5,302.52
460,1,118.55
517,1,67.97
516,1,33.67
513,1,13.97
516,1,19.56
507,2,39.5
516,1,28.34
447,2,52.75
464,3,105.18
516,1,14.37
516,1,13.97
516,1,15.76
516,1,20.54
65,2,87.67
516,1,56.7
44,8,1805.85
176,2,87.18
188,2,62.96
516,1,73.65
516,1,19.99
516,1,11.77
516,1,42.28
97,2,56.26
205,5,466.59
516,1,19.54
313,2,76.99
516,1,19.99
471,1,97.11
251,2,234.12
516,1,13.97
32,3,214.17
127,3,127.15
425,4,447.7
74,2,60.34
110,2,179.15
516,1,14.37
9,5,470.83
503,1,53.98
516,1,17.7
516,1,13.77
480,2,120.26
516,1,8.97
122,5,248.13
253,3,127.02
516,1,12.49
78,3,81.33
116,1,27.69
516,1,6.79
516,1,12.97
516,1,18.99
516,1,74.48
516,1,58.5
424,2,40.22
21,3,153.57
282,2,119.92
337,1,56.28
489,1,7.99
516,1,14.79
477,2,76.23
173,2,203.63
516,1,15.36
516,1,27.13
507,2,74.61
232,2,114.67
516,1,51.48
516,1,44.98
400,3,101.05
516,1,30.32
516,1,26.99
419,2,91.85
516,1,41.5
30,1,107.06
516,1,19.99
123,2,65.5
516,1,57.98
516,1,40.33
262,2,84.88
516,1,19.99
446,2,52.87
516,1,18.99
334,3,185.31
516,1,11.77
516,1,305.48
117,3,119.11
516,1,33.4
516,1,30.32
368,5,252.65
99,2,292.05
516,1,24.99
401,1,19.75
516,1,12.77
516,1,22.99
18,2,443.62
292,4,556.07
516,1,11.77
508,2,17.77
56,2,68.56
516,1,25.99
221,2,89.32
98,3,215.9
516,1,14.96
516,1,5.98
13,5,1105.74
516,1,12.49
516,1,19.97
106,2,220.79
516,1,12.49
140,2,63.1
516,1,27.99
511,1,39.51
516,1,76.25
516,1,23.54
124,1,55.93
516,1,22.99
516,1,29.31
489,1,5.99
516,1,19.99
403,2,120.04
76,3,255.62
516,1,9.99
516,1,15.36
516,1,29.33
419,1,44.9
230,2,104.04
495,2,36.95
55,1,26.34
118,3,218.47
91,2,88.74
441,1,16.78
134,1,126.0
516,1,33.74
516,1,40.73
469,1,32.97
516,1,13.97
510,2,201.8
49,4,207.0
516,1,14.96
516,1,66.84
475,2,114.73
178,2,71.61
516,1,29.33
85,2,138.36
516,1,16.3
516,1,59.52
36,3,180.97
516,1,21.99
516,1,81.79
516,1,30.0
516,1,19.98
447,2,56.25
516,1,11.77
30,2,240.38
35,3,127.89
15,2,92.4
339,3,157.96
83,5,575.43
516,1,70.46
53,5,650.49
483,1,31.8
516,1,13.97
516,1,11.77
516,1,15.76
436,1,62.3
507,1,32.7
516,1,27.94
516,1,13.97
1,3,162.03
515,1,96.99
516,1,11.77
160,3,130.78
0,2,65.94
516,1,86.56
18,5,343.34
516,1,13.97
516,1,45.08
191,2,65.24
516,1,9.77
225,1,26.25
445,3,82.61
516,1,30.32
516,1,19.99
426,3,76.04
516,1,39.98
516,1,14.96
481,1,26.77
516,1,24.54
261,1,21.26
501,1,31.32
335,1,117.96
516,1,14.37
466,1,19.28
516,1,22.74
440,1,59.86
21,3,113.46
516,1,15.36
516,1,17.9
354,1,28.34
516,1,61.3
512,1,23.36
74,3,111.66
516,1,29.37
238,6,895.42
516,1,55.2
516,1,11.77
516,1,19.75
516,1,14.37
95,3,451.7
473,2,37.51
15,3,181.66
516,1,20.99
516,1,14.37
509,2,47.51
515,1,16.55
474,1,59.06
516,1,29.16
371,2,223.72
516,1,15.36
125,2,99.81
435,2,35.31
437,1,41.74
420,3,113.37
516,1,9.99
516,1,13.97
236,3,104.15
491,1,28.33
510,2,30.31
516,1,14.99
23,1,51.38
516,1,47.93
516,1,47.1
223,3,66.9
17,18,6497.18
516,1,39.53
516,1,12.97
510,1,35.77
61,5,841.91
516,1,23.99
516,1,54.98
156,3,94.86
516,1,40.13
516,1,26.99
516,1,26.14
516,1,14.37
516,1,9.98
8,1,68.69
516,1,14.96
516,1,10.77
516,1,19.7
516,1,16.0
516,1,19.77
516,1,11.77
70,2,35.34
516,1,12.97
48,1,20.87
516,1,14.37
82,4,427.49
65,6,379.47
516,1,12.49
358,2,33.52
516,1,30.8
516,1,19.99
199,2,199.55
380,2,77.2
120,2,69.17
483,2,74.22
516,1,14.37
102,2,176.82
155,1,70.25
12,2,59.61
9,4,413.24
516,1,24.77
347,3,158.95
255,1,76.85
7,2,323.83
396,2,98.55
516,1,14.37
516,1,9.98
451,1,42.73
516,1,14.39
516,1,17.9
31,1,71.94
516,1,28.93
516,1,21.97
5,14,6960.08
510,1,27.34
133,2,63.02
327,2,207.53
516,1,54.43
516,1,19.99
516,1,51.27
336,2,92.25
60,6,1121.91
286,1,43.48
516,1,21.77
73,1,35.83
43,4,188.71
513,1,85.58
515,1,60.64
516,1,60.73
516,1,75.7
132,1,61.28
516,1,23.54
516,1,28.7
311,3,204.28
357,2,148.33
122,3,278.1
406,1,54.35
516,1,10.99
205,5,736.77
10,4,514.4
56,1,66.41
116,3,168.28
515,1,14.96
62,2,90.72
446,2,75.3
515,1,13.97
515,1,13.97
41,3,420.17
515,1,20.99
515,1,14.96
507,1,15.36
132,2,145.12
0,3,389.44
515,1,29.73
515,1,26.73
515,1,26.33
202,2,68.39
212,5,517.39
515,1,13.98
41,2,98.07
372,1,23.95
515,1,11.97
166,5,383.34
234,2,37.45
515,1,41.1
4,8,1708.91
94,1,51.48
18,4,623.3
402,3,288.29
515,1,88.7
515,1,100.56
22,2,57.46
515,1,29.99
515,1,76.21
511,1,162.43
515,1,23.54
485,2,140.05
477,1,12.49
515,1,13.97
89,3,243.09
515,1,29.74
14,3,162.84
505,1,14.37
125,2,133.81
72,3,171.03
408,2,42.69
64,2,184.15
160,2,240.2
514,1,16.99
515,1,46.51
515,1,45.28
515,1,37.51
515,1,11.77
43,2,53.74
515,1,19.99
515,1,13.97
234,1,139.38
1,3,196.07
514,2,41.89
515,1,20.99
515,1,59.84
505,1,10.97
515,1,47.97
418,2,45.67
515,1,10.77
354,2,62.69
515,1,8.97
194,1,71.2
102,2,327.93
515,1,47.97
515,1,11.77
505,1,39.75
515,1,13.77
314,2,74.65
515,1,21.37
515,1,9.98
515,1,24.98
515,1,15.9
515,1,5.99
169,2,96.18
503,1,23.95
119,4,295.86
4,1,31.56
430,2,114.8
515,1,12.97
202,3,305.01
515,1,28.34
267,2,36.47
515,1,12.49
479,3,151.88
515,1,9.77
19,3,185.4
515,1,17.99
515,1,42.9
515,1,14.37
99,2,313.88
498,2,42.29
211,3,146.69
197,3,173.08
515,1,37.91
62,2,168.72
515,1,76.8
515,1,7.78
257,1,21.26
141,2,140.31
515,1,14.96
336,1,16.77
306,2,97.79
515,1,47.28
515,1,11.77
505,2,49.06
93,6,382.08
515,1,37.76
515,1,81.47
508,1,191.53
19,5,901.89
76,1,67.7
242,1,45.13
46,3,321.83
515,1,14.37
488,2,40.7
515,1,47.73
20,4,382.42
57,2,292.65
336,1,21.54
515,1,14.97
440,4,288.09
506,1,24.46
368,1,26.56
515,1,11.77
474,2,43.13
515,1,135.59
6,3,281.19
489,1,58.66
66,4,620.34
427,2,61.19
154,1,31.49
402,1,53.08
515,1,23.98
